CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
015429,KENSINGTON HEALTH AND REHABILITATION,550 CONGRESS STREET,MOBILE,AL,36603,"550 CONGRESS STREET,MOBILE,AL,36603",2026-04-01,
015431,"VALLEY VIEW HEALTH AND REHABILITATION, LLC",5968 WALL TRIANA HIGHWAY,MADISON,AL,35757,"5968 WALL TRIANA HIGHWAY,MADISON,AL,35757",2026-04-01,
015433,ST MARTIN'S IN THE PINES,4941 MONTEVALLO ROAD,IRONDALE,AL,35210,"4941 MONTEVALLO ROAD,IRONDALE,AL,35210",2026-04-01,
015434,LYNWOOD REHABILITATION AND HEALTHCARE CENTER,4164 HALLS MILL ROAD,MOBILE,AL,36693,"4164 HALLS MILL ROAD,MOBILE,AL,36693",2026-04-01,
015435,SPRINGHILL SENIOR RESIDENCE,3717 DAUPHIN STREET,MOBILE,AL,36608,"3717 DAUPHIN STREET,MOBILE,AL,36608",2026-04-01,
015436,HILLVIEW TERRACE,100 PERRY HILL RD,MONTGOMERY,AL,36109,"100 PERRY HILL RD,MONTGOMERY,AL,36109",2026-04-01,
015437,FOLSOM REHABILITATION AND HEALTHCARE CENTER,401 ARNOLD STREET N.E.,CULLMAN,AL,35055,"401 ARNOLD STREET N.E.,CULLMAN,AL,35055",2026-04-01,
015440,"HUNTSVILLE HEALTH & REHABILITATION, LLC",4010 CHRIS DRIVE,HUNTSVILLE,AL,35802,"4010 CHRIS DRIVE,HUNTSVILLE,AL,35802",2026-04-01,
015442,ORCHARD REHABILITATION & HEALTHCARE CENTER,629 STATE HIGHWAY 21 SOUTH,HAYNEVILLE,AL,36040,"629 STATE HIGHWAY 21 SOUTH,HAYNEVILLE,AL,36040",2026-04-01,
015443,ROBERTSDALE REHABILITATION & HEALTHCARE CTR,18700 U S HIGHWAY 90,ROBERTSDALE,AL,36567,"18700 U S HIGHWAY 90,ROBERTSDALE,AL,36567",2026-04-01,
015445,CHERRY HILL REHABILITATION & HEALTHCARE CENTER,1250 JEFF GERMANY PARKWAY,BIRMINGHAM,AL,35214,"1250 JEFF GERMANY PARKWAY,BIRMINGHAM,AL,35214",2026-04-01,
